SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
67,三重,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,11
68,中壢,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
69,竹山,南投縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,21
70,永和,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
71,復興,高雄市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,20
72,埔里,南投縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,17
75,馬祖,連江縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,19
77,金門,金門縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,21
78,馬公,澎湖縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,10
80,關山,臺東縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,6
83,麥寮,雲林縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,15
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,7
85,大城,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,13
